name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
MNR_002#out1#mnr_input0006,108,55,0.01,0.47,0.18,64,0,0,0.02,0.44,0.06,2.0,0.06,2.0,0.02,0.02,1.0,0.0,0.02,1.0,0.0,0.0,0.02,0.17,0.0,0.02,0.17,0.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,109,55,0.06,0.25,0.23,64,0,0,0.08,0.44,0.27,2.0,0.27,2.0,0.12,0.02,1.0,0.0,0.12,1.0,0.0,0.88,0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,110,55,0.01,0.17,0.07,64,0,0,0.01,0.22,0.02,1.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,111,55,0.09,0.25,0.24,64,0,0,0.14,0.56,0.47,2.0,0.47,2.0,0.12,0.12,1.0,0.0,0.11,1.0,0.0,0.12,0.17,0.17,0.17,0.12,0.17,0.0,0.17,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,108,56,0.16,0.99,0.82,64,0,0,0.09,0.67,0.27,2.0,0.61,4.0,0.27,0.08,1.0,0.0,0.27,1.0,0.0,0.71,0.1,0.17,0.0,0.21,0.5,0.17,0.21,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,109,56,0.06,0.22,0.22,64,0,0,0.08,0.33,0.25,1.0,0.25,1.0,0.12,0.0,0.0,0.0,0.12,1.0,0.0,1.0,0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,110,56,0.0,0.0,0.0,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,111,56,0.0,0.17,0.05,64,0,0,0.01,0.22,0.02,1.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,112,56,0.05,0.25,0.23,64,0,0,0.08,0.44,0.27,2.0,0.27,2.0,0.12,0.02,1.0,0.0,0.12,1.0,0.0,0.88,0.02,0.17,0.0,0.15,0.17,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,113,56,0.0,0.0,0.0,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,114,56,0.0,0.0,0.0,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,116,56,0.11,0.32,0.28,64,0,0,0.15,0.56,0.52,2.0,0.52,2.0,0.14,0.14,1.0,0.0,0.12,1.0,0.0,0.11,0.19,0.33,0.0,0.17,0.33,0.0,0.19,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,117,56,0.06,0.25,0.23,64,0,0,0.08,0.44,0.27,2.0,0.27,2.0,0.12,0.12,1.0,0.0,0.0,0.0,0.0,1.0,0.17,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,118,56,0.01,0.22,0.08,64,0,0,0.01,0.33,0.03,2.0,0.03,2.0,0.02,0.0,0.0,0.0,0.02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,119,56,0.0,0.0,0.0,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,108,57,0.33,1.28,1.13,64,0,0,0.27,1.22,1.09,7.0,1.23,7.0,0.37,0.24,2.0,0.0,0.37,3.0,0.0,0.35,0.38,1.39,0.02,0.89,1.0,0.32,0.89,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,109,57,0.09,0.25,0.24,64,0,0,0.13,0.53,0.45,2.08,0.47,2.08,0.15,0.07,1.08,0.0,0.15,1.0,0.0,0.55,0.09,0.18,0.0,0.21,0.55,0.17,0.21,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,110,57,0.1,0.67,0.67,64,0,0,0.04,0.33,0.14,1.0,0.36,2.0,0.12,0.12,1.0,0.0,0.01,0.5,0.0,0.88,0.16,0.17,0.1,0.01,0.07,0.0,0.16,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,111,57,0.11,0.67,0.67,64,0,0,0.05,0.44,0.16,2.0,0.38,2.0,0.12,0.12,1.0,0.0,0.0,0.0,0.0,1.0,0.17,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,112,57,0.06,0.54,0.32,64,0,0,0.08,0.33,0.23,1.0,0.27,2.0,0.14,0.0,0.0,0.0,0.14,1.0,0.0,1.0,0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,113,57,0.01,0.16,0.08,64,0,0,0.01,0.37,0.04,1.43,0.05,1.44,0.01,0.01,0.72,0.0,0.01,0.72,0.0,0.0,0.01,0.12,0.0,0.01,0.12,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,114,57,0.07,0.53,0.46,64,0,0,0.08,0.9,0.29,3.38,0.37,3.38,0.11,0.11,1.44,0.0,0.06,1.37,0.0,0.47,0.15,0.38,0.0,0.12,0.78,0.0,0.15,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,116,57,0.13,0.67,0.64,64,0,0,0.11,0.56,0.36,2.0,0.55,2.0,0.12,0.12,1.0,0.0,0.11,1.0,0.0,0.11,0.17,0.17,0.17,0.12,0.17,0.0,0.17,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,117,57,0.05,0.25,0.23,64,0,0,0.08,0.44,0.27,2.43,0.27,2.43,0.11,0.11,1.0,0.0,0.02,1.0,0.0,0.86,0.15,0.17,0.0,0.02,0.17,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,118,57,0.1,0.5,0.43,64,0,0,0.13,0.79,0.45,2.85,0.46,2.85,0.14,0.09,1.43,0.0,0.14,1.43,0.0,0.36,0.1,0.24,0.0,0.21,0.48,0.17,0.21,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,119,57,0.04,0.25,0.23,64,0,0,0.06,0.44,0.22,2.0,0.23,2.0,0.1,0.1,1.0,0.0,0.02,1.0,0.0,0.77,0.13,0.17,0.1,0.02,0.14,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,112,58,0.67,5.43,3.91,64,0,0,0.34,1.89,1.06,5.0,1.71,10.0,0.59,0.27,2.43,0.0,0.59,4.0,0.0,0.55,0.51,2.74,0.0,0.82,3.17,0.02,0.82,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,113,58,0.06,0.4,0.33,64,0,0,0.08,1.0,0.3,4.22,0.38,4.22,0.11,0.06,1.14,0.0,0.11,1.43,0.0,0.43,0.13,1.02,0.0,0.13,0.24,0.0,0.13,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,114,58,0.37,1.01,0.91,64,0,0,0.38,1.16,1.35,3.66,1.93,4.52,0.51,0.51,1.86,0.0,0.45,2.37,0.0,0.12,0.89,1.27,0.36,0.8,1.36,0.26,0.89,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,120,58,0.07,0.71,0.39,64,0,0,0.08,0.59,0.27,2.43,0.31,2.43,0.17,0.02,1.0,0.0,0.17,1.28,0.0,0.91,0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,120,59,0.25,3.86,2.26,64,0,0,0.08,1.06,0.26,3.14,0.64,7.29,0.23,0.15,2.0,0.0,0.23,3.0,0.0,0.38,0.23,1.14,0.0,0.15,0.36,0.0,0.23,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,120,60,0.83,8.25,6.08,64,0,0,0.51,1.24,1.78,4.14,2.43,8.93,1.11,0.22,1.86,0.0,1.11,5.22,0.0,0.8,0.27,0.64,0.0,1.81,2.17,0.17,1.81,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,120,61,0.29,1.9,1.55,64,0,0,0.15,0.84,0.57,3.72,0.9,4.94,0.28,0.28,2.22,0.0,0.19,1.93,0.0,0.32,0.27,0.69,0.1,0.17,1.09,0.0,0.27,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,77,69,0.33,0.69,0.66,64,0,0,0.32,1.33,1.45,6.0,1.7,6.0,0.42,0.42,2.0,0.0,0.41,2.0,0.0,0.04,0.77,1.33,0.17,0.73,1.5,0.17,0.77,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,78,69,0.07,0.62,0.43,64,0,0,0.08,0.56,0.25,2.0,0.31,3.0,0.11,0.02,1.0,0.0,0.11,1.0,0.0,0.86,0.04,0.33,0.0,0.04,0.17,0.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,79,69,0.05,0.22,0.22,64,0,0,0.08,0.33,0.25,1.0,0.25,1.0,0.12,0.0,0.0,0.0,0.12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,80,69,0.03,0.25,0.23,64,0,0,0.05,0.44,0.14,2.0,0.14,2.0,0.12,0.02,1.0,0.0,0.12,1.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,77,70,0.15,0.77,0.58,64,0,0,0.18,0.56,0.66,2.0,0.72,2.0,0.27,0.27,2.0,0.0,0.14,1.0,0.0,0.47,0.33,0.5,0.17,0.13,0.67,0.0,0.33,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,78,70,0.1,0.47,0.36,64,0,0,0.13,0.56,0.39,2.0,0.42,2.0,0.14,0.14,1.0,0.0,0.03,1.0,0.0,0.78,0.17,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,79,70,0.1,0.44,0.3,64,0,0,0.14,0.56,0.48,2.0,0.48,2.0,0.12,0.11,1.0,0.0,0.12,1.0,0.0,0.12,0.15,0.17,0.0,0.02,0.17,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,80,70,0.03,0.22,0.22,64,0,0,0.04,0.33,0.11,1.0,0.11,1.0,0.11,0.0,0.0,0.0,0.11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,77,71,0.11,0.25,0.23,64,0,0,0.16,0.44,0.52,2.0,0.52,2.0,0.25,0.25,1.0,0.0,0.02,1.0,0.0,0.94,0.31,0.33,0.17,0.02,0.17,0.0,0.31,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,78,71,0.11,0.25,0.23,64,0,0,0.16,0.44,0.52,2.0,0.52,2.0,0.25,0.25,1.0,0.0,0.02,1.0,0.0,0.94,0.31,0.33,0.17,0.02,0.17,0.0,0.31,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,79,71,0.06,0.22,0.22,64,0,0,0.09,0.33,0.27,1.0,0.27,1.0,0.14,0.14,1.0,0.0,0.0,0.0,0.0,1.0,0.17,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,80,71,0.06,0.22,0.22,64,0,0,0.08,0.33,0.25,1.0,0.25,1.0,0.12,0.12,1.0,0.0,0.0,0.0,0.0,1.0,0.17,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,21,92,44.1,110.77,102.03,62,0,0,2.92,8.67,9.56,30.0,21.9,42.86,5.62,5.42,14.0,0.0,5.62,20.0,0.0,0.04,4.42,5.33,3.0,6.54,9.0,5.17,6.54,0.68,0.14,0.04,0.06,0.03,0.45,0.07,0.0,0.03,0.04,0.0,0.04,0.14,0.01,0.06,0.06,0.03,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
